7,0:-5 88,1:-9 41,1:-3 64,1:3 53,0:4
93,0:3 23,0:4 98,1:9 44,4:9 74,3:8
64,4:5 83,0:-9 16,4:9 45,1:2 25,0:-6
72,3:9 47,1:4 61,3:10 86,1:-5 49,0:-8
69,4:-8 33,4:1 57,2:8 2,0:6 84,3:-5
20,0:-3 71,4:5 84,1:10 13,3:-2 56,4:-8
2,3:5 86,3:8 68,2:5 5,3:-2 40,0:8
44,1:9 10,2:5 41,4:1 88,0:3 58,0:-3
18,1:-6 96,1:10 60,2:-8 89,4:0 19,3:-1
21,4:-10 30,4:8 29,2:3 93,1:8 88,2:-6
31,4:-6 17,2:0 82,0:5 51,1:4 54,0:-8
81,2:-1 2,4:-1 13,0:1 74,0:-5 52,2:4
12,2:1 1,4:3 10,4:-4 35,2:1 30,2:-7
94,2:-3 18,0:-4 42,0:4 43,3:9 32,2:-8
48,0:-4 49,3:-1 41,3:6 64,3:1 38,1:7
70,3:6 97,3:-10 90,1:-4 58,3:-7 25,1:0
69,3:-3 34,3:-4 70,4:4 45,2:5 23,2:7
31,3:-7 76,0:9 65,3:2 81,3:3 98,2:2
12,4:0 88,3:4 41,0:6 63,0:7 16,0:-3
92,4:-10 27,1:4 0,4:2 52,4:0 1,3:-2
10,3:3 12,1:-4 40,3:-8 5,1:-1 36,1:-9
52,3:8 91,0:2 99,0:-8 56,0:3 52,1:10
7,1:-6 12,3:-8 45,3:-3 92,1:-7 81,1:1
90,4:2 78,0:9 4,0:3 40,2:-4 63,4:-1
90,3:-1 32,0:-3 62,2:1 25,2:1 86,2:-6
14,4:0 3,1:-9 44,0:0 26,0:-2 84,2:0
63,3:1 6,2:3 30,3:6 6,1:-7 38,4:10
95,1:-4 82,3:2 40,1:4 71,2:-9 60,1:1
51,4:3 29,3:9 54,4:-5 89,1:-10 26,1:0
35,3:-10 78,3:0 50,1:-5 4,3:5 35,1:-9
24,1:5 94,4:-8 87,2:6 99,2:7 60,3:7
7,4:8 55,4:2 16,1:-6 47,2:-5 46,4:9
71,1:0 96,3:-10 19,4:10 29,4:2 0,1:4
87,0:-10 88,4:-9 77,3:8 22,0:8 67,4:-1
55,0:-10 4,4:-10 59,1:8 20,4:-5 74,1:5
5,2:0 59,4:3 7,3:4 79,4:7 62,1:10
68,0:-9 26,2:-1 93,2:-2 39,2:-4 0,0:10
83,3:-2 73,3:10 1,0:-7 73,4:10 51,3:9
22,2:-4 49,4:4 44,3:2 23,3:2 28,3:-1
70,0:2 20,1:-5 49,1:-8 92,0:-10 90,0:-10
74,4:8 53,4:-5 16,3:-5 75,0:8 98,4:3
76,3:2 66,3:-4 66,0:-1 69,1:10 76,1:-10
84,0:1 1,2:10 33,3:-7 15,0:4 95,0:4
86,4:4 47,3:5 73,2:9 57,0:1 23,4:-7
43,2:-2 85,2:-1 72,0:7 43,4:5 68,3:-3
21,0:0 18,3:2 14,0:10 17,3:-10 56,1:-3
95,4:-9 48,4:-4 16,2:-7 67,2:-9 59,0:-5
72,4:-3 94,1:1 24,2:-10 19,0:5 86,0:-6
50,3:-8 54,2:9 65,1:-2 79,1:10 90,2:-6
97,4:8 2,2:-5 60,0:-4 91,2:10 68,1:-2
85,4:-4 32,1:-1 19,2:4 4,2:-9 17,0:5
81,0:9 79,0:10 37,2:2 27,0:0 57,3:10
48,3:-1 38,0:9 62,4:-9 15,2:2 53,3:-10
64,2:3 70,2:5 9,3:-8 63,2:-4 66,1:-9
98,0:-2 59,3:-8 34,1:-4 75,2:-8 14,3:-7
37,3:6 63,1:-1 74,2:-6 76,4:4 33,1:6
6,0:10 51,2:5 77,1:-6 10,1:7 15,1:-8
96,2:2 9,2:3 28,0:4 80,4:8 87,1:-9
21,2:-5 17,4:-1 67,3:-7 80,1:-3 6,4:7
61,1:-1 32,4:-7 58,4:2 38,2:-7 50,2:3
85,1:5 92,3:9 79,3:-1 27,4:2 76,2:7
6,3:-10 13,2:-6 87,3:8 28,1:4 27,2:0
0,2:4 89,2:-2 80,3:7 28,2:1 18,4:5
